Metric,Value
address1,2401 Utah Avenue South
city,Seattle
state,WA
zip,98134
country,United States
phone,206 447 1575
website,https://www.starbucks.com
industry,Restaurants
industryKey,restaurants
industryDisp,Restaurants
sector,Consumer Cyclical
sectorKey,consumer-cyclical
sectorDisp,Consumer Cyclical
longBusinessSummary,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee, tea, and other beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks Coffee, Teavana, Seattle's Best Coffee, Ethos, and Starbucks Reserve brands. It partners with Global Food Banking Network support food security and reduce food waste. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington."
fullTimeEmployees,361000
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Brian R. Niccol', 'age': 50, 'title': 'Chairman & CEO', 'yearBorn': 1974, 'fiscalYear': 2024, 'totalPay': 5509904, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bradley E. Lerman J.D.', 'age': 66, 'title': 'Executive VP & Chief Legal Officer', 'yearBorn': 1958, 'fiscalYear': 2024, 'totalPay': 1289888, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brady  Brewer', 'age': 51, 'title': 'Chief Executive Officer of Starbucks International', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 1126296, 'exercisedValue': 1390184, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Catherine R. Smith CPA', 'age': 60, 'title': 'Executive VP, CFO & Principal Accounting Officer', 'yearBorn': 1964, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mike  Grams', 'age': 54, 'title': 'EVP & COO', 'yearBorn': 1970, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bao Giang Val Bauduin', 'age': 48, 'title': 'Senior VP of Corporate Finance', 'yearBorn': 1976, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Deborah L. Hall Lefevre', 'age': 56, 'title': 'Executive VP & CTO', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Tiffany  Willis CPA', 'title': 'Senior Vice President of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ashish  Mishra', 'title': 'Senior VP, Deputy General Counsel and Chief Ethics & Compliance Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dominic  Carr', 'title': 'Executive VP, Chief Communications Officer & Corporate Affairs Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,7
boardRisk,8
compensationRisk,10
shareHolderRightsRisk,2
overallRisk,9
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
irWebsite,http://investor.starbucks.com/phoenix.zhtml?c=99518&p=irol-IRHome
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,92.28
open,93.08
dayLow,92.4
dayHigh,93.8
regularMarketPreviousClose,92.28
regularMarketOpen,93.08
regularMarketDayLow,92.4
regularMarketDayHigh,93.8
dividendRate,2.44
dividendYield,2.62
exDividendDate,1747353600
payoutRatio,0.8582
fiveYearAvgDividendYield,2.11
beta,0.99
trailingPE,33.86182
forwardPE,25.032259
volume,9172891
regularMarketVolume,9172891
averageVolume,11326361
averageVolume10days,8148970
averageDailyVolume10Day,8148970
bid,88.05
ask,98.12
bidSize,1
askSize,1
marketCap,105821569024
fiftyTwoWeekLow,71.55
fiftyTwoWeekHigh,117.46
priceToSalesTrailing12Months,2.911401
fiftyDayAverage,85.8954
twoHundredDayAverage,95.63015
trailingAnnualDividendRate,2.4
trailingAnnualDividendYield,0.026007803
currency,USD
tradeable,False
enterpriseValue,128848969728
profitMargins,0.08609
floatShares,1134274932
sharesOutstanding,1136400000
sharesShort,38344981
sharesShortPriorMonth,33390291
sharesShortPreviousMonthDate,1745971200
dateShortInterest,1748563200
sharesPercentSharesOut,0.0337
heldPercentInsiders,0.00159
heldPercentInstitutions,0.84743
shortRatio,3.05
shortPercentOfFloat,0.033800002
impliedSharesOutstanding,1159849984
bookValue,-6.709
lastFiscalYearEnd,1727568000
nextFiscalYearEnd,1759104000
mostRecentQuarter,1743292800
earningsQuarterlyGrowth,-0.503
netIncomeToCommon,3129100032
trailingEps,2.75
forwardEps,3.72
lastSplitFactor,2:1
lastSplitDate,1428537600
enterpriseToRevenue,3.545
enterpriseToEbitda,21.269
52WeekChange,0.16794181
SandP52WeekChange,0.09544468
lastDividendValue,0.61
lastDividendDate,1747353600
quoteType,EQUITY
currentPrice,93.12
targetHighPrice,125.0
targetLowPrice,69.0
targetMeanPrice,92.18793
targetMedianPrice,95.0
recommendationMean,2.35294
recommendationKey,buy
numberOfAnalystOpinions,29
totalCash,3011599872
totalCashPerShare,2.65
ebitda,6058200064
totalDebt,26031900672
quickRatio,0.399
currentRatio,0.644
totalRevenue,36347301888
revenuePerShare,32.047
returnOnAssets,0.08979999
grossProfits,9097900032
freeCashflow,1848912512
operatingCashflow,5569699840
earningsGrowth,-0.503
revenueGrowth,0.023
grossMargins,0.25030002
ebitdaMargins,0.16668
operatingMargins,0.07511
financialCurrency,USD
symbol,SBUX
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
market,us_market
esgPopulated,False
regularMarketChangePercent,0.910277
regularMarketPrice,93.12
epsTrailingTwelveMonths,2.75
epsForward,3.72
epsCurrentYear,2.48318
priceEpsCurrentYear,37.5003
fiftyDayAverageChange,7.2246017
fiftyDayAverageChangePercent,0.0841093
twoHundredDayAverageChange,-2.510147
twoHundredDayAverageChangePercent,-0.02624849
priceToBook,-13.879863
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,2.4 - Buy
cryptoTradeable,False
postMarketChangePercent,-0.1181278
postMarketPrice,93.01
postMarketChange,-0.11000061
regularMarketChange,0.840004
regularMarketDayRange,92.4 - 93.8
fullExchangeName,NasdaqGS
averageDailyVolume3Month,11326361
fiftyTwoWeekLowChange,21.57
fiftyTwoWeekLowChangePercent,0.30146748
fiftyTwoWeekRange,71.55 - 117.46
fiftyTwoWeekHighChange,-24.339996
fiftyTwoWeekHighChangePercent,-0.20721945
fiftyTwoWeekChangePercent,16.794182
dividendDate,1748563200
earningsTimestamp,1745957100
earningsTimestampStart,1753700340
earningsTimestampEnd,1754049600
earningsCallTimestampStart,1745960400
earningsCallTimestampEnd,1745960400
isEarningsDateEstimate,True
shortName,Starbucks Corporation
longName,Starbucks Corporation
marketState,CLOSED
hasPrePostMarketData,True
firstTradeDateMilliseconds,709565400000
corporateActions,[]
postMarketTime,1750463815
regularMarketTime,1750449601
exchange,NMS
messageBoardId,finmb_34745
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
displayName,Starbucks
trailingPegRatio,2.4293
