Metric,Value
currency,USD
dayHigh,93.80000305175781
dayLow,92.4000015258789
exchange,NMS
fiftyDayAverage,85.89540023803711
lastPrice,93.12000274658203
lastVolume,9196400
marketCap,108005233695.70312
open,93.08000183105469
previousClose,92.37
quoteType,EQUITY
regularMarketPreviousClose,92.27999877929688
shares,1159849984
tenDayAverageVolume,8148970
threeMonthAverageVolume,11326990
timezone,America/New_York
twoHundredDayAverage,95.63015007019042
yearChange,0.16794178886089306
yearHigh,117.45999908447266
yearLow,71.55000305175781
